#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
532315 1382690 300 4.6e+03 6.9 18 29 29 14 3.3 0.39 0.012 
532345 1382690 300 4.6e+03 6.9 18 29 29 14 3.3 0.39 0.012 
532380 1382690 300 4.5e+03 6.9 18 29 29 14 3.3 0.40 0.012 
532420 1382690 300 4.4e+03 6.8 18 29 29 14 3.4 0.41 0.013 
532465 1382690 300 4.3e+03 6.7 18 29 29 14 3.5 0.42 0.013 
532515 1382690 300 4.1e+03 6.5 17 29 29 14 3.6 0.44 0.014 
532570 1382690 300 4.0e+03 6.2 17 29 29 15 3.7 0.47 0.015 
532630 1382690 300 3.7e+03 5.9 17 28 30 15 3.9 0.50 0.016 
532695 1382690 300 3.5e+03 5.6 16 28 30 16 4.2 0.54 0.017 
532765 1382690 300 3.2e+03 5.1 15 28 30 16 4.5 0.59 0.019 
532840 1382690 300 2.9e+03 4.6 14 27 31 17 4.9 0.66 0.022 
532920 1382690 300 2.5e+03 4.0 13 27 31 18 5.5 0.76 0.026 
533005 1382690 300 2.2e+03 3.5 12 26 32 20 6.2 0.88 0.031 
533095 1382690 300 1.8e+03 2.9 11 25 32 21 7.1 1.0 0.037 
533190 1382690 300 1.5e+03 2.3 9.5 23 32 23 8.2 1.3 0.046 
533290 1382690 300 1.2e+03 1.8 8.1 22 32 25 9.7 1.6 0.059 
533395 1382690 300 9.3e+02 1.4 6.7 20 31 27 12 2.0 0.078 
533505 1382690 300 7.1e+02 1.1 5.4 17 30 29 14 2.6 0.10 
533620 1382690 300 5.3e+02 0.77 4.2 15 28 32 17 3.3 0.14 
533740 1382690 300 3.9e+02 0.55 3.1 12 26 33 20 4.4 0.20 
533865 1382690 300 2.8e+02 0.39 2.3 9.7 23 35 24 5.8 0.28 
533995 1382690 300 2.0e+02 0.26 1.6 7.3 19 35 29 7.7 0.39 
534130 1382690 300 1.4e+02 0.18 1.1 5.2 15 34 34 10 0.56 
534270 1382690 300 1.0e+02 0.11 0.70 3.6 11 32 38 13 0.78 
534415 1382690 300 72 0.068 0.44 2.3 7.8 29 43 17 1.1 
534565 1382690 300 51 0.039 0.27 1.4 5.2 25 46 21 1.5 
534720 1382690 300 37 0.021 0.16 0.86 3.2 20 48 26 2.1 
534880 1382690 300 26 0.011 0.087 0.50 1.9 16 48 31 2.9 
535045 1382690 300 19 0.0050 0.046 0.27 1.0 11 47 37 3.9 
535215 1382690 300 14 0.0022 0.023 0.15 0.55 8.0 44 42 5.1 
535390 1382690 300 9.8 0.00090 0.011 0.076 0.28 5.3 40 48 6.8 
535570 1382690 300 7.1 0.00034 0.0048 0.038 0.14 3.3 35 53 8.9 
535755 1382690 300 5.1 0.00012 0.0020 0.018 0.065 2.0 30 57 11 
535945 1382690 300 3.6 3.7e-05 0.00077 0.0080 0.030 1.1 24 60 15 
536140 1382690 300 2.6 1.0e-05 0.00027 0.0034 0.014 0.58 19 62 19 
536340 1382690 300 1.9 2.7e-06 9.0e-05 0.0014 0.0061 0.29 14 62 23 
536545 1382690 300 1.3 6.4e-07 2.7e-05 0.00052 0.0026 0.13 10 61 29 
536755 1382690 300 0.97 1.3e-07 7.6e-06 0.00018 0.0011 0.057 7.1 58 35 
536970 1382690 300 0.70 2.5e-08 1.9e-06 5.9e-05 0.00043 0.023 4.6 53 42 
537190 1382690 300 0.51 4.0e-09 4.4e-07 1.8e-05 0.00016 0.0088 2.9 48 49 
537415 1382690 300 0.37 5.8e-10 9.0e-08 5.0e-06 5.7e-05 0.0031 1.7 41 57 
537645 1382690 300 0.27 7.3e-11 1.6e-08 1.3e-06 1.9e-05 0.0010 0.95 34 65 
537880 1382690 300 0.20 7.9e-12 2.7e-09 2.9e-07 5.9e-06 0.00032 0.49 27 72 
538120 1382690 300 0.15 7.4e-13 3.9e-10 6.0e-08 1.7e-06 9.4e-05 0.24 21 79 
538365 1382690 300 0.12 5.9e-14 4.9e-11 1.1e-08 4.6e-07 2.7e-05 0.11 15 85 
538615 1382690 300 0.089 4.0e-15 5.5e-12 1.9e-09 1.2e-07 7.4e-06 0.047 11 89 
538870 1382690 300 0.069 2.3e-16 5.4e-13 3.0e-10 2.8e-08 2.0e-06 0.019 7.3 93 
539130 1382690 300 0.053 1.1e-17 4.6e-14 4.1e-11 6.1e-09 5.6e-07 0.0070 4.7 95 
539395 1382690 300 0.042 4.5e-19 3.4e-15 5.1e-12 1.2e-09 1.5e-07 0.0024 2.9 97 
539665 1382690 300 0.032 1.5e-20 2.2e-16 5.6e-13 2.4e-10 4.1e-08 0.00080 1.7 98 
539940 1382690 300 0.025 4.3e-22 1.2e-17 5.6e-14 4.2e-11 1.1e-08 0.00024 1.0 99 
540220 1382690 300 0.020 1.0e-23 5.9e-19 4.9e-15 6.8e-12 2.8e-09 6.9e-05 0.55 99 
540505 1382690 300 0.015 2.0e-25 2.4e-20 3.8e-16 1.0e-12 7.1e-10 1.8e-05 0.29 1.0e+02 
540795 1382690 300 0.012 3.1e-27 8.4e-22 2.6e-17 1.5e-13 1.7e-10 4.5e-06 0.14 1.0e+02 
541090 1382690 300 0.0092 3.9e-29 2.5e-23 1.6e-18 1.9e-14 3.9e-11 1.0e-06 0.070 1.0e+02 
541390 1382690 300 0.0071 4.0e-31 6.2e-25 8.5e-20 2.3e-15 8.7e-12 2.3e-07 0.032 1.0e+02 
